路線名,運行情報,ステータス
京王井の頭線,09:20頃、富士見ケ丘駅での信号関係点検の影響で、列車に遅れが出ています。（6月10日 9時40分掲載）,遅延
小田急小田原線,07:47頃、東京メトロ千代田線内でのホームドア点検の影響で、ダイヤが乱れています。なお、東京メトロ千代田線との直通運転を中止しています。（6月10日 11時20分掲載）,直通運転中止
小田急多摩線,07:47頃、東京メトロ千代田線内でのホームドア点検の影響で、ダイヤが乱れています。なお、東京メトロ千代田線との直通運転を中止しています。（6月10日 11時20分掲載）,直通運転中止
相鉄線,07:58頃、西武池袋線・秩父線内での安全確認の影響などで、一部列車に遅れが出ています。（6月10日 9時55分掲載）,遅延
京急本線,金沢文庫駅での安全確認の影響で、一部列車に遅れが出ています。（6月10日 7時45分掲載）,遅延
京急空港線,京急本線内での安全確認の影響で、一部列車に遅れが出ています。（6月10日 8時35分掲載）,遅延
東急東横線,07:58頃、西武池袋線・秩父線内での安全確認の影響などで、一部列車に運休が出ています。（6月10日 11時45分掲載）,運休
東京メトロ千代田線,07:47頃、新御茶ノ水駅でのホームドア点検の影響で、ダイヤが乱れています。なお、小田急小田原線との直通運転を中止しています。（6月10日 10時50分掲載）,直通運転中止
東京メトロ副都心線,07:24頃、東京メトロ有楽町線内でのドア点検の影響で、一部列車に遅れが出ています。（6月10日 9時0分掲載）,遅延
都営浅草線,五反田駅での車両点検の影響で、ダイヤが乱れています。（6月10日 8時55分掲載）,遅延
総武線(快速)[東京〜千葉],千葉駅での信号関係点検の影響で、一部列車に遅れや運休が出ています。なお、横須賀線との直通運転を中止しています。（6月10日 8時0分掲載）,遅延
西武池袋線・秩父線,07:58頃、清瀬〜秋津駅間での安全確認の影響などで、一部列車に遅れが出ています。（6月10日 11時5分掲載）,遅延
