路線名,URL
京王線,https://transit.yahoo.co.jp/diainfo/102/0
京王高尾線,https://transit.yahoo.co.jp/diainfo/105/0
京王井の頭線,https://transit.yahoo.co.jp/diainfo/108/0
京王相模原線,https://transit.yahoo.co.jp/diainfo/104/0
中央線(快速)[東京〜高尾],https://transit.yahoo.co.jp/diainfo/38/0
中央本線[高尾〜大月],https://transit.yahoo.co.jp/diainfo/42/0
横浜線,https://transit.yahoo.co.jp/diainfo/31/0
南武線[川崎〜立川],https://transit.yahoo.co.jp/diainfo/34/0
南武線[浜川崎〜尻手],https://transit.yahoo.co.jp/diainfo/37/0
中央・総武線[各駅停車],https://transit.yahoo.co.jp/diainfo/40/0
八高線[高麗川〜高崎],https://transit.yahoo.co.jp/diainfo/54/0
八高川越線[八王子〜川越],https://transit.yahoo.co.jp/diainfo/52/0
武蔵野線,https://transit.yahoo.co.jp/diainfo/71/0
青梅線[立川〜青梅],https://transit.yahoo.co.jp/diainfo/43/43
青梅線[青梅〜奥多摩],https://transit.yahoo.co.jp/diainfo/43/44
五日市線,https://transit.yahoo.co.jp/diainfo/45/0
相模線,https://transit.yahoo.co.jp/diainfo/33/0
小田急小田原線,https://transit.yahoo.co.jp/diainfo/109/0
小田急多摩線,https://transit.yahoo.co.jp/diainfo/109/0
小田急江ノ島線,https://transit.yahoo.co.jp/diainfo/110/0
多摩都市モノレール線,https://transit.yahoo.co.jp/diainfo/156/0
相鉄線,https://transit.yahoo.co.jp/diainfo/125/0
山手線,https://transit.yahoo.co.jp/diainfo/21/0
埼京川越線,https://transit.yahoo.co.jp/diainfo/50/0
京急本線,https://transit.yahoo.co.jp/diainfo/120/0
京急空港線,https://transit.yahoo.co.jp/diainfo/121/0
東急田園都市線,https://transit.yahoo.co.jp/diainfo/114/0
東急大井町線,https://transit.yahoo.co.jp/diainfo/115/0
東急東横線,https://transit.yahoo.co.jp/diainfo/112/0
等級目黒線,https://transit.yahoo.co.jp/diainfo/113/0
東急池上線,https://transit.yahoo.co.jp/diainfo/117/0
東急多摩線,https://transit.yahoo.co.jp/diainfo/116/0
東急世田谷線,https://transit.yahoo.co.jp/diainfo/119/0
京浜東北・根岸線,https://transit.yahoo.co.jp/diainfo/22/0
湘南新宿ライン,https://transit.yahoo.co.jp/diainfo/25/0
東京メトロ東西線,https://transit.yahoo.co.jp/diainfo/135/0
東京メトロ千代田線,https://transit.yahoo.co.jp/diainfo/136/0
東京メトロ有楽町線,https://transit.yahoo.co.jp/diainfo/137/0
東京メトロ丸ノ内線,https://transit.yahoo.co.jp/diainfo/133/0
東京メトロ銀座線,https://transit.yahoo.co.jp/diainfo/132/0
東京メトロ日比谷線,https://transit.yahoo.co.jp/diainfo/134/0
東京メトロ半蔵門線,https://transit.yahoo.co.jp/diainfo/138/0
東京メトロ南北線,https://transit.yahoo.co.jp/diainfo/139/0
東京メトロ副都心線,https://transit.yahoo.co.jp/diainfo/540/0
都営浅草線,https://transit.yahoo.co.jp/diainfo/128/0
都営新宿線,https://transit.yahoo.co.jp/diainfo/130/0
都営三田線,https://transit.yahoo.co.jp/diainfo/129/0
都営大江戸線,https://transit.yahoo.co.jp/diainfo/131/0
日暮里・舎人ライナー,https://transit.yahoo.co.jp/diainfo/541/0
総武線(快速)[東京〜千葉],https://transit.yahoo.co.jp/diainfo/61/0
千葉都市モノレール,https://transit.yahoo.co.jp/diainfo/157/0
ゆりかもめ,https://transit.yahoo.co.jp/diainfo/160/0
りんかい線,https://transit.yahoo.co.jp/diainfo/144/0
西武新宿線,https://transit.yahoo.co.jp/diainfo/86/0
西武池袋線・秩父線,https://transit.yahoo.co.jp/diainfo/84/0
西武国分寺線,https://transit.yahoo.co.jp/diainfo/88/0
東急東横線,https://transit.yahoo.co.jp/diainfo/112/0
